lastname	cnt
Perkins	3
Prudhomme	43
Rodier	12
Oconnell	4
Perras	21
Pruneau	20
Rodney	3
Oconnor	14
Perreault	202
Pugliese	1
Rodrigue	93
Octeau	1
Perrier	26
Pulice	1
Rodriguez	32
Odonnell	4
Perrin	4
Purcell	3
Roger	18
Ofarrell	3
Perron	193
Purdy	2
Rogers	4
Ogrady	2
Perrotta	1
Pye	1
Roireau	1
Ohana	2
Perrotte	2
Qinuajuak	1
Rojas	4
Ohara	2
Perry	14
Quach	6
Rolfe	2
Ohayon	4
Persaud	2
Quan	2
Rolland	13
Okeefe	2
Persechino	2
Quenneville	18
Rollin	12
Okituk	1
Pérusse	12
Querry	4
Romain	7
Oleary	2
Perveen	1
Quesnel	26
Roman	2
Oligny	4
Pesant	9
Quessy	8
Romanelli	2
Oliva	3
Petawabano	4
Quévillon	17
Romano	8
Oliveira	7
Petel	3
Quezada	1
Romeo	3
Oliver	4
Peterkin	1
Quimper	3
Romero	7
Olivier	23
Peters	8
Quinn	12
Rompré	7
Olmstead	1
Petersen	2
Quintal	17
Romulus	1
Olsen	3
Peterson	7
Quintanilla	2
Rondeau	64
Olson	1
Petiguay	13
Quintin	7
Rood	2
Omar	2
Petion	2
Quinton	3
Rooney	3
Oneill	8
Petiquay	7
Quirion	45
Rosa	9
Ong	2
Petit	41
Quitich	6
Rosales	3
Oppman	1
Petitclerc	14
Qumaluk	3
Rosati	2
Ordonez	1
Petitpas	4
Quoquochi	2
Rose	17
Oreilly	4
Petosa	1
Qureshi	3
Roseberry	4
Orellana	4
Petrella	3
Raad	1
Rosen	3
Orlando	2
Petrilli	2
Rabbitskin	3
Rosenbaum	1
Orourke	1
Pétrin	14
Rabinovitch	1
Rosenberg	7
Orphanos	1
Petropoulos	1
Rabouin	4
Ross	64
Orr	3
Petrucci	1
Raby	14
Rossi	8
Orsini	4
Pettigrew	6
Racanelli	2
Rossignol	12
Ortega	2
Pham	23
Racette	25
Roth	4
Ortiz	7
Phan	14
Racicot	32
Rotondo	1
Osborne	6
Phaneuf	24
Racine	100
Rottenberg	1
Osei	2
Pharand	17
Rae	2
Rouette	4
Osman	4
Phelan	2
Rafter	1
Rougeau	3
Osorio	2
Phenix	2
Rahal	2
Rouillard	19
Ostiguy	14
Philémon	1
Rahaman	1
Rouillier	4
Osullivan	2
Philibert	9
Rahman	8
Rouleau	63
Oswald	1
Philie	4
Raiche	9
Roulier	1
Otis	24
Philippe	14
Rail	8
Roumeliotis	1
Ottawa	13
Philippon	4
Raimondo	2
Rousse	4
Otter	2
Philistin	1
Rainone	1
Rousseau	164
Ottereyes	4
Phillips	14
Rainville	37
Roussel	61
Ou	1
Philogène	1
Raja	2
Rousselot	2
Ouaknine	2
Phoenix	1
Rajaratnam	2
Roussin	12
Ouellet	446
Phung	3
Rajotte	12
Rousson	2
Ouimet	67
Piazza	2
Ramirez	8
Roussy	23
Oum	1
Picard	140
Ramos	8
Routhier	28
Ouzilleau	2
Piccolo	2
Ramsay	10
Roux	28
Owen	1
Piché	81
Rana	3
Rowan	1
Owens	1
Pichette	39
Rancourt	43
Rowe	4
Owusu	2
Picotin	3
Randall	2
Rowley	1
Pace	3
Picotte	9
Ranger	24
Rowsell	2
Pachanos	2
Pien	3
Rankin	3
Roy	753
Pacheco	9
Pierre	43
Rannou	2
Royal	4
Packwood	2
Pierrelouis	8
Rao	2
Royea	2
Padilla	1
Pietracupa	2
Raphael	6
Royer	43
Padlayat	2
Pietrantonio	3
Raposo	8
Rozon	14
Pagano	1
Pietroniro	1
Raquepas	1
Rubin	3
Pagé	68
Piette	10
Rashid	2
Rubio	2
Pageau	32
Pigeon	41
Rasiah	2
Rudolph	1
Pagette	1
Pike	2
Rasmussen	1
Ruel	46
Paiement	21
Pilette	2
Ratelle	14
Ruelland	2
Paillé	10
Pilon	100
Ratnam	2
Ruest	17
Painchaud	17
Pilote	52
Ratt	4
Ruffolo	1
Paiva	2
Pimentel	4
Ratté	37
Rufiange	3
Pal	3
Pimparé	9
Ravary	4
Ruggiero	2
Palacios	2
Pin	2
Ravenelle	3
Ruiz	4
Palardy	8
Pinard	35
Raymond	150
Rupert	4
Palermo	2
Pincince	1
Raynault	2
Ruperthouse	3
Palin	4
Pineault	41
Raza	2
Ruscito	2
Paliotti	2
Pineda	4
Rebelo	3
Russell	12
Palladini	1
Pinel	8
Recine	2
Russo	6
Pallotta	2
Pinette	20
Reda	4
Rutherford	2
Palma	2
Pinsonneault	16
Redmond	2
Ryan	14
Palmer	6
Saab	2
Sinnathamby	2
Thibodeau	90
Vigeant	8
Saad	9
Sinnathurai	2
Thiboutot	12
Viger	12
Saavedra	2
Sioui	4
Thiffault	29
Vigneault	67
Sabbagh	3
Sirard	4
Thisdale	2
Vigneux	3
Sabbah	7
Sirois	79
Thivierge	48
Vignola	9
Sabourin	52
Skelling	2
Thomas	46
Vilandré	2
Sabra	1
Skinner	1
Thomassin	13
Villanueva	1
Sagala	3
Slater	3
Thompson	32
Villegas	1
Saganash	4
Sleiman	3
Thomson	4
Villemaire	7
Sage	3
Slight	2
Thorne	4
Villemure	10
Saget	1
Slim	1
Thouin	12
Villeneuve	165
Saïd	3
Sloan	1
Thuot	6
Villiard	4
Saidi	1
Small	4
Thurairajah	2
Vincelette	6
Saillant	4
Smart	2
Thurston	1
Vincelli	4
Saindon	12
Smith	97
Tibbo	2
Vincent	82
Saini	1
Snow	2
Timmons	3
Vinet	20
Sakr	2
Snowball	3
Tinkler	1
Viola	2
Salah	1
Snowboy	4
Tison	1
Violette	2
Salame	3
Snyder	3
Tisseur	3
Visitor	3
Salazar	3
So	2
Tissot	1
Vital	2
Saleh	6
Soares	4
Tittley	2
Vitale	2
Salem	2
Sobh	3
To	4
Viveiros	2
Salerno	2
Sohier	1
Tobar	1
Vivier	7
Salesse	2
Sok	3
Tobin	2
Vo	10
Salgado	1
Soliman	2
Todaro	2
Vocelle	1
Saliba	3
Solis	2
Todd	3
Voghel	3
Salim	2
Solomon	4
Toledano	2
Voisard	2
Salinas	1
Solorzano	1
Tolley	1
Voiselle	1
Salloum	2
Somers	1
Tom	2
Voisine	3
Salman	2
Song	1
Tomas	1
Volcy	2
Salmon	2
Sonier	2
Tomasino	1
Vollant	13
Salois	6
Sorel	7
Tomassini	1
Vollering	1
Salomon	4
Sorensen	1
Ton	2
Voltaire	1
Salt	4
Soto	2
Tondreau	4
Vong	2
Salter	1
Soucisse	2
Tong	3
Vouligny	2
Salvail	6
Soucy	79
Tookalook	2
Voyageur	2
Salvas	6
Soulard	7
Tooktoo	2
Voyer	32
Salvatore	3
Soulières	16
Tooma	2
Vu	12
Salvo	2
Souligny	2
Topping	2
Vuong	4
Sam	8
Soumis	2
Torossian	2
Wabanonick	3
Samedy	1
Sourdif	3
Torres	8
Wabanonik	3
Samoisette	2
Sousa	7
Tortorici	2
Wabie	1
Sampson	2
Soussan	1
Toth	2
Wade	1
Samson	74
Soutière	1
Touchette	28
Wafer	2
Samuel	14
Sow	1
Tougas	13
Wagner	9
Samuels	2
Sparks	2
Toulouse	8
Waite	2
Sanche	4
Spénard	6
Toupin	25
Walker	17
Sanchez	13
Spence	4
Tourangeau	14
Wall	3
Sanders	4
Spencer	7
Touré	3
Wallace	6
Sanderson	1
Spina	2
Tourigny	25
Wallis	1
Sandhu	4
Spinelli	1
Tourville	3
Walsh	13
Sandoval	2
Spitzer	2
Tousignant	39
Walter	3
Sandy	3
Spooner	3
Toussaint	17
Walters	3
Sanfaçon	10
Squires	2
Toutant	10
Walton	1
Sanon	8
Stabile	2
Touzel	2
Waltz	1
Sanscartier	14
Stacey	6
Touzin	7
Waltzing	2
Sanschagrin	9
Stafford	2
Tracey	1
Wan	2
Sansoucy	8
St-Amand	50
Trachy	3
Wang	12
Sansregret	4
St-Amour	35
Tracy	2
Wapachee	6
Santamaria	2
St-André	7
Trad	1
Wapistan	3
Santana	2
Stanley	2
Trahan	19
Ward	14
Santerre	27
St-Antoine	2
Tran	56
Warner	2
Santiago	2
Stark	2
Tranchemontagne	2
Warren	9
Santini	2
St-Arnaud	32
Trang	1
Waterhouse	1
Santoro	1
Starnino	3
Tranquille	3
Waters	4
Santos	13
St-Aubin	13
Traoré	2
Watier	4
Sarault	2
St-Charles	1
Trapper	8
Watkins	2
Sargent	1
St-Cyr	41
Travers	4
Watson	9
Sarkis	2
St-Denis	32
Traversy	7
Watt	4
Sarkissian	1
Steben	6
Tremblay	1075
Watts	2
Sarmiento	2
Ste-Croix	6
Trempe	8
Waugh	1
Sarrazin	39
Steele	3
Trépanier	85
Wawatie	1
Sasseville	14
Stein	4
Triassi	2
Waxman	1
Saucier	17
Steinberg	3
Trieu	2
Weapenicappo	1
Saulnier	13
Steiner	2
Tringle	2
Webb	3
Saumier	3
Ste-Marie	29
Trinh	7
Weber	8
Saumure	10
Stephen	7
Trinque	3
Webster	4
Saunders	8
Stephens	4
Trottier	81
Weekes	2
Sauriol	17
Stephenson	2
Truchon	23
Weetaltuk	2
Sauro	4
Stern	3
Trudeau	68
Weetaluktuk	1
Sauvage	1
Stevens	7
Trudel	142
Wehbe	2
Sauvageau	32
Stevenson	4
Truong	14
Wei	1
Sauvé	72
Stewart	17
Tsang	2
Weightman	2
Savage	16
St-Fleur	3
Tse	3
Weinberger	4
Savard	210
St-François	1
Tu	3
Weiner	1
Savaria	14
St-Gelais	34
Tubman	1
Weinstein	1
Savary	4
St-Georges	20
Tucci	2
Weir	2
Saviadjuk	2
St-Germain	50
Tucker	4
Weiss	4
Savignac	8
St-Hilaire	56
Tukai	1
Weistche	1
Savoie	78
St-Jacques	32
Tukalak	3
Weisz	2
Sawyer	7
St-James	3
Tukkiapik	3
Weizineau	8
Sayegh	4
St-Jean	92
Tulugak	2
Welburn	2
Sayers	1
St-Jules	2
Turbide	19
Welch	2
Sbeiti	2
St-Laurent	90
Turbis	2
Wellman	2
Scalabrini	3
St-Louis	67
Turcotte	219
Wells	4
Scalia	4
St-Marseille	3
Turenne	8
Welsh	2
Scalzo	1
St-Martin	25
Turgeon	101
Werzberger	2
Schanck	1
St-Maurice	4
Turk	1
Wesley	1
Scherer	2
St-Michel	6
Turmel	30
West	3
Schiavone	2
Stock	1
Turnbull	3
Weston	1
Schinck	4
Stone	3
Turner	16
Whalen	4
Schmidt	8
St-Onge	96
Turpin	14
Whalley	2
Schneider	4
St-Ours	4
Tutino	2
Wheeler	4
Schofield	1
St-Pierre	263
Uddin	2
Whelan	3
Schryer	2
Strasbourg	2
Ullah	2
Whiskeychan	3
Schultz	1
Stringer	2
Ulrich	2
Whissell	6
Schulz	1
St-Roch	1
Ulysse	4
White	32
Schwartz	10
St-Sauveur	3
Umana	1
Whitebean	2
Sciascia	2
Stuart	4
Underwood	1
Whiteduck	2
Sciortino	3
St-Vil	3
Ung	4
Whitehead	2
Scipio	2
St-Vincent	4
Ungar	2
Whitney	1
Scott	29
St-Yves	10
Unger	1
Whittaker	3
Scraire	2
Su	2
Unsdorfer	2
Whittom	4
Scrive	1
Suarez	2
Urbain	4
Whitton	2
Scrosati	1
Subramaniam	6
Vaccaro	4
Whitty	2
Scullion	2
Suissa	4
Vachon	150
Wiggins	1
Scully	2
Sullivan	12
Vadeboncoeur	8
Wilcott	1
Sealhunter	3
Sultan	2
Vadnais	9
Wilhelmy	1
Sears	2
Sultana	4
Vaillancourt	129
Wilkie	2
Sebbag	4
Sun	4
Vaillant	10
Wilkins	2
Seccareccia	2
Suppa	2
Valade	14
Wilkinson	3
Seers	2
Sureau	1
Valcourt	17
Willard	2
Segal	4
Surette	1
Valdez	2
Willett	2
Séguin	115
Surprenant	19
Valence	2
Williams	35
Selby	1
Sutherland	3
Valencia	1
Williamson	7
Selladurai	1
Sutton	6
Valente	4
Willis	3
Sellathurai	2
Swallow	3
Valenti	2
Wilson	34
Selvarajah	2
Sweeney	8
Valentin	2
Wiltshire	1
Semaan	2
Sy	2
Valentine	2
Winter	2
Seminaro	1
Syed	4
Valentini	1
Wise	1
Sénat	2
Sylla	2
Valenzuela	2
Wiseman	4
Sénécal	37
Sylvain	32
Valiante	1
Wistaff	3
Sénéchal	23
Sylvester	2
Valin	4
Witty	2
Senez	8
Sylvestre	37
Valiquette	32
Wolfe	8
Senneville	7
Synnett	7
Vallée	119
Wong	27
Séraphin	2
Synnott	12
Vallerand	10
Woo	4
Sergerie	23
Syvret	3
Vallières	74
Wood	8
Serra	2
Szabo	3
Vallipuram	1
Woodard	2
Serrano	3
Szeto	2
Valois	25
Woodbury	2
Serré	4
Ta	3
Van	4
Woods	7
Servais	2
Tabet	2
Vanasse	12
Woodward	2
Servant	14
Taché	3
Vandal	17
Wright	14
Sévère	1
Taddeo	3
Vandelac	2
Wu	9
Sévigny	43
Tadros	2
Vandette	2
Wylie	2
Sexton	2
Taha	2
Vanhoutte	1
Wysote	1
Seyer	4
Taillefer	18
Vani	1
Xavier	3
Seymour	2
Tailleur	3
Vanier	19
Xenos	2
Shah	4
Taillon	20
Vanwinden	2
Xie	2
Shaheen	2
Tailly	3
Varano	2
Xu	4
Shaikh	2
Taing	4
Varennes	2
Yacoub	1
Shank	4
Talarico	2
Vargas	4
Yale	3
Shannon	3
Talbot	63
Varin	12
Yan	3
Shapiro	3
Taleb	2
Vary	3
Yang	6
Sharma	4
Talon	3
Vasquez	8
Yao	1
Sharp	1
Tam	6
Vatcher	1
Yargeau	3
Sharpe	2
Tan	8
Vaudeville	1
Yassine	1
Shattler	2
Tang	12
Vaudreuil	3
Yates	2
Shaw	10
Tanguay	105
Vaudrin	3
Ye	2
Shea	4
Tanner	1
Vaudry	14
Yee	4
Shecanapish	1
Tannous	2
Vaugeois	4
Yelle	14
Shecapio	8
Tapin	1
Vautour	3
Yergeau	8
Shecapioblacksmith	2
Tapp	8
Vaz	1
Yeung	3
Shedrick	2
Tarantino	1
Veer	2
Yi	2
Sheehan	3
Tardif	127
Véga	2
Yilmaz	1
Sheehy	6
Tartaglia	2
Veillette	50
Yin	1
Sheikh	6
Tarte	3
Veilleux	114
Yip	3
Shen	2
Taschereau	3
Velasco	2
Yockell	2
Sheppard	4
Tassé	20
Velasquez	4
You	1
Sheridan	2
Tat	1
Vendette	10
Younes	3
Sherman	1
Tavares	8
Venditti	2
Young	25
Sheshamush	1
Tawil	2
Venne	32
Youssef	4
Shi	1
Taylor	26
Ventura	4
Yu	9
Shields	3
Tea	1
Verdon	4
Yuan	1
Shink	6
Teasdale	6
Vergara	2
Yuen	2
Shooner	1
Tedeschi	1
Verge	2
Yung	1
Shore	2
Teitelbaum	2
Verma	1
Yvon	2
Sicard	13
Teixeira	4
Vermette	27
Zacharie	2
Siconnelly	1
Télémaque	1
Verner	4
Zaidi	2
Sicotte	8
Telfort	2
Vernier	3
Zakaib	1
Siddiqui	2
Tellier	24
Véronneau	12
Zakaria	2
Sidhu	2
Telmosse	2
Verpaelst	2
Zaman	1
Sigouin	27
Teoli	3
Verreault	45
Zambito	2
Silber	2
Teolis	2
Verret	26
Zamor	1
Silberman	2
Terrault	2
Verrier	4
Zamora	2
Sills	2
Tessier	128
Verrillo	2
Zampino	2
Silva	9
Testa	2
Versailles	1
Zapata	2
Silver	2
Tétreault	70
Verschelden	1
Zeidan	2
Silverman	2
Têtu	6
Vertefeuille	3
Zelaya	1
Sim	2
Thach	2
Verville	27
Zeng	1
Simard	354
Thai	4
Vescio	1
Zenga	1
Siméon	4
Thauvette	6
Vézeau	7
Zéphir	2
Simeone	2
Théberge	43
Vézina	108
Zéphirin	1
Simmons	3
Thellend	4
Viau	48
Zhang	13
Simms	2
Themens	4
Vibert	4
Zhao	4
Simoes	2
Théodore	2
Vicaire	2
Zheng	2
Simon	39
Théorêt	32
Vicente	1
Zhong	2
Simoneau	48
Thériault	163
Victor	6
Zhou	4
Simpson	10
Thermidor	1
Vidal	8
Zhu	3
Sincennes	3
Théroux	18
Vieira	6
Zimmermann	2
Sinclair	7
Therrien	178
Viel	12
Zuniga	1
Singer	4
Thibault	268
Vienneau	8
Singh	28
Thibert	13
Viens	50
