lastname	cnt
Désy	8
Cadorette	18
Chevarie	14
Dalton	2
Detonnancourt	1
Cadotte	8
Chévigny	1
Daly	4
Deutsch	2
Cadrin	4
Chèvrefils	3
Dam	2
Devarennes	3
Cahill	3
Chevrette	9
Damas	2
Deveault	25
Cai	1
Chevrier	30
Damato	2
Devillers	2
Caillé	4
Chiasson	41
Damboise	3
Devin	3
Cain	7
Chicoine	28
Dambrosio	2
Devine	2
Caisse	6
Chidiac	1
Dame	3
Devito	2
Caissy	18
Chief	1
Damico	7
Devlin	1
Cajolet	3
Chilton	3
Damien	2
Devries	1
Cajuste	2
Chin	4
Damore	1
Dewar	2
Calabrese	3
Chiovitti	1
Damours	43
Dextradeur	2
Calce	2
Chiquette	1
Damphousse	4
Dextraze	4
Calder	1
Chisholm	2
Dancause	7
Déziel	21
Calderon	3
Chiskamish	2
Dandeneault	2
Dhaïti	2
Calderone	1
Chiu	2
Dandonneau	1
Dhaliwal	2
Caldwell	2
Cho	2
Dandrea	2
Dhillon	4
Calixte	4
Choi	4
Dandurand	10
Diab	1
Callender	2
Choinière	19
Daneau	17
Diabo	10
Caluori	2
Cholette	14
Dang	10
Diallo	4
Calvé	4
Chong	2
Dangelo	4
Diamond	17
Camacho	2
Choquette	41
Daniel	13
Diarra	2
Camara	4
Choudhury	2
Daniels	2
Diaz	17
Camden	1
Chouinard	104
Danis	25
Dib	2
Cameron	18
Chow	4
Danjou	14
Dibenedetto	2
Camille	2
Chowdhury	7
Dansereau	17
Dibiase	1
Camirand	12
Chrétien	37
Dantonio	1
Diblasio	2
Camiré	14
Christensen	2
Dao	6
Dicaire	13
Cammisano	2
Christie	3
Daoud	3
Dicaprio	1
Campagna	9
Christin	3
Daoust	75
Dicarlo	2
Campanella	1
Chu	4
Daponte	3
Dicesare	2
Campanelli	2
Chung	7
Daragon	2
Dick	4
Campbell	35
Church	2
Daraiche	16
Dickey	2
Campeau	52
Cianci	2
Darbouze	1
Dickner	3
Campion	4
Ciccarelli	2
Darby	1
Dickson	3
Campisi	2
Ciccone	2
Darche	2
Didier	2
Campos	3
Cinqmars	8
Darcy	4
Diep	4
Camus	1
Cioffi	1
Dargis	4
Dieudonné	1
Canape	2
Circé	2
Dargy	2
Dieujuste	1
Cannon	1
Cissé	1
Darsigny	4
Difiore	1
Cano	1
Civil	1
Darveau	16
Difrancesco	2
Cantara	1
Claing	3
Darwiche	2
Difruscia	2
Cantave	3
Clair	2
Das	2
Digenova	4
Cantin	68
Clairmont	2
Dasilva	23
Digiacomo	2
Canuel	18
Clairoux	3
Dastous	18
Digiovanni	2
Cao	4
Clarke	28
Daudelin	13
Digirolamo	2
Caouette	41
Clary	2
Daunais	8
Dignard	6
Capistran	2
Claude	8
Dauphin	8
Diioia	2
Caplan	2
Claveau	30
Dauphinais	14
Diiorio	4
Caplette	3
Clavel	6
Dauteuil	8
Dilalla	1
Cappelli	1
Clavet	16
Davey	1
Dilillo	2
Capuano	1
Clayton	1
Daviault	18
Dimarco	2
Caputo	3
Cleary	8
David	50
Dimichele	1
Carbone	3
Clément	72
Davidson	14
Dimopoulos	1
Carbonneau	35
Clemente	2
Davies	7
Dinardo	2
Cardenas	1
Clergé	2
Davignon	8
Dinelle	14
Cardillo	2
Clermont	34
Davila	1
Dingman	1
Cardin	17
Cléroux	14
Davis	19
Dinh	4
Cardinal	56
Cliche	28
Dawson	4
Diodati	1
Cardoso	2
Clifford	1
Day	8
Dion	188
Carette	3
Clouâtre	6
Dayan	3
Dionne	130
Carey	4
Clouette	3
Daze	4
Diop	1
Carignan	30
Clouston	3
Dea	3
Diorio	1
Carle	16
Cloutier	296
Dean	2
Diotte	18
Carlone	1
Clusiau	2
Deangelis	3
Dipalma	2
Carlos	2
Coache	2
Debeaumont	1
Dipaola	1
Carmel	4
Coallier	8
Debellefeuille	8
Dipaolo	3
Carmichael	4
Coates	3
Debien	2
Dipasquale	1
Carnevale	2
Cochrane	3
Debigare	1
Dipietro	3
Caron	321
Coderre	20
Deblois	26
Diraddo	1
Carpentier	37
Cody	2
Debonis	1
Dire	2
Carr	3
Coelho	3
Décarie	17
Distaulo	1
Carranza	1
Coffin	2
Decarufel	6
Distefano	4
Carré	8
Cohen	27
Decelles	10
Ditomasso	2
Carreau	14
Coiteux	2
Dechamplain	9
Ditullio	2
Carreiro	3
Colangelo	2
Dechantal	2
Dixon	7
Carrier	136
Colas	4
Déchêne	3
Dizazzo	2
Carrière	70
Colbert	2
Décosse	2
Do	8
Carriero	1
Colby	1
Décoste	10
Doan	6
Carrillo	2
Cole	4
Decourval	2
Dobbs	3
Carroll	8
Colella	2
Deer	4
Dobson	2
Carruthers	1
Coleman	3
Defoy	8
Dodd	1
Carson	3
Coles	1
Defrancesco	2
Doddridge	2
Carter	8
Coll	3
Degagné	4
Dodge	1
Cartier	20
Collard	18
Degarie	6
Dodier	8
Cartwright	1
Collerette	4
Degongre	1
Doherty	3
Caruana	2
Collette	14
Degrâce	4
Doire	3
Caruso	4
Collin	52
Degrandmaison	2
Doiron	17
Carvajal	2
Collins	17
Degrandpré	8
Dolan	2
Carvalho	4
Colombo	2
Degré	2
Dolbec	10
Casabon	2
Colpron	3
Deguire	12
Domaine	1
Casale	1
Comeau	48
Deguise	7
Dombrowski	1
Casaubon	3
Compagnat	2
Deguzman	2
Domingue	8
Casault	4
Compère	1
Dejean	2
Dominguez	4
Casavant	16
Complaisance	2
Delachevrotière	2
Dominique	12
Casgrain	3
Comte	6
Delacruz	2
Dompierre	13
Casimir	4
Comtois	39
Deladurantaye	7
Donahue	3
Casseus	3
Condo	3
Delafontaine	6
Donais	4
Cassidy	4
Connelly	4
Delâge	17
Donaldson	4
Cassista	4
Connolly	6
Delagrave	2
Donato	1
Cassivi	4
Connor	2
Delamarre	2
Dong	1
Castagnier	1
Connors	2
Deland	4
Donnelly	3
Castaneda	2
Conroy	2
Delaney	4
Donofrio	3
Castellanos	1
Constant	8
Delangis	1
Donovan	4
Castelli	3
Constantin	8
Delaronde	3
Dontigny	6
Castillo	8
Constantineau	17
Delarosbil	8
Dor	1
Castilloux	13
Contant	12
Delasablonnière	3
Dorais	13
Castonguay	74
Conti	1
Delaunais	1
Doran	2
Castor	2
Contreras	3
Delaunière	3
Doré	48
Castro	7
Conway	3
Delbalso	2
Dorion	24
Cataford	2
Coocoo	2
Delcourt	2
Dormoy	1
Catalano	2
Cook	12
Deleon	4
Dorsainvil	1
Catellier	3
Cookie	2
Delétoile	2
Dorval	25
Cater	2
Cool	3
Delgado	2
Dorvil	2
Catudal	3
Coombs	1
Delia	2
Dossantos	4
Caty	2
Coon	2
Delice	1
Dostaler	2
Caucci	3
Cooncome	3
Delisle	75
Dostie	21
Cauchon	17
Coonishish	3
Delledonne	2
Douaire	1
Caumartin	2
Cooper	10
Dellicolli	2
Doucet	90
Cauvier	3
Coppola	2
Delorme	32
Dougherty	2
Caux	3
Corbeil	68
Delormier	1
Douglas	4
Cavaliere	2
Corbett	4
Delpapa	1
Douillard	2
Cavanagh	8
Corbière	1
Deluca	8
Doutre	2
Caya	14
Corbin	26
Delude	1
Douville	14
Cayen	2
Corbo	1
Delva	3
Douyon	1
Cayer	29
Corcoran	2
Delvecchio	3
Dow	3
Caza	7
Cordeau	9
Demarco	2
Downey	3
Cazelais	1
Cordeiro	6
Demelo	4
Downing	2
Cazes	3
Corey	1
Demers	202
Downs	1
Cecere	1
Coriolan	1
Demeule	4
Doyer	2
Cécyre	3
Cormier	93
Demirdjian	1
Doyle	17
Cédilotte	1
Corneau	14
Demontigny	14
Doyon	71
Ceitlin	1
Cornejo	2
Demosthène	3
Dozois	4
Céleste	1
Cornellier	3
Dempsey	2
Dragon	2
Célestin	4
Correa	2
Deneault	28
Drainville	7
Cerat	2
Correia	7
Deng	2
Drapeau	45
Céré	8
Corrigan	2
Denicourt	3
Draper	2
Cerone	1
Corriveau	70
Deniger	3
Drew	3
César	3
Corsi	1
Denis	97
Driscoll	2
Chabot	109
Cortese	1
Denisdamee	2
Drisdelle	1
Chachai	10
Cortez	4
Denommée	14
Drolet	83
Chacon	2
Cosentino	2
Denoncourt	7
Drouin	122
Chagnon	46
Cosgrove	2
Deoliveira	2
Drummond	3
Chahine	3
Cossette	52
Deom	1
Drysdale	2
Chaine	10
Costa	9
Depalma	2
Dsouza	2
Chakapash	1
Costanzo	1
Depeault	3
Du	2
Chalhoub	2
Costello	2
Depelteau	4
Duarte	4
Chalifour	12
Côté	691
Depetrillo	1
Dubé	296
Chalifoux	27
Cotnoir	8
Depont	2
Dubeau	28
Chalmers	1
Cotton	12
Dépôt	4
Dubois	175
Chaloux	4
Coude	4
Deragon	4
Dubord	8
Chalut	4
Couet	4
Deraiche	6
Dubreuil	27
Chamaillard	2
Couillard	25
Deraspe	16
Dubuc	59
Chamard	3
Coulombe	107
Derepentigny	9
Dubuisson	1
Chamberlain	4
Coupal	9
Derome	8
Ducap	3
Chamberland	54
Courcelles	6
Derosa	2
Ducas	13
Chambers	3
Courchesne	45
Derosby	2
Duceppe	4
Chami	1
Courcy	9
Derose	2
Ducharme	70
Chamoun	2
Cournoyer	37
Derouin	3
Duchemin	4
Champagne	173
Coursol	8
Deroy	14
Duchesne	116
Champeau	2
Court	1
Derrico	1
Duchesneau	27
Champigny	8
Courteau	8
Déry	48
Duciaume	1
Champion	3
Courtemanche	27
Desabrais	4
Duclos	25
Champoux	24
Courtois	13
Desainde	2
Dufault	12
Chan	24
Courval	3
Desalliers	6
Duff	4
Chandonnet	8
Courville	9
Desantis	4
Duffy	2
Chang	6
Cousin	3
Desaulniers	37
Dufort	19
Chantal	7
Cousineau	43
Desautels	25
Dufour	190
Chantigny	4
Couto	3
Desbiens	90
Dufresne	85
Chao	3
Coutu	46
Desbois	6
Dugal	12
Chapadeau	1
Couture	219
Deschambault	8
Dugas	41
Chapados	8
Couturier	25
Deschamps	54
Dugré	9
Chapdelaine	24
Couvrette	4
Deschâtelets	8
Dugrenier	2
Chaperon	4
Cowan	3
Descheneaux	4
Duguay	76
Chapleau	6
Cox	7
Deschênes	157
Duhaime	18
Chapman	6
Coyle	2
Descormiers	2
Duhamel	19
Chaput	37
Craig	8
Descôteaux	28
Dulac	10
Charbonneau	152
Crawford	4
Deserres	6
Dulmaine	1
Charest	79
Crépeau	20
Desève	4
Dulong	4
Charette	94
Crépin	2
Desforges	16
Dulude	20
Charland	43
Crête	23
Desfossés	17
Dumaine	4
Charlebois	41
Crevier	21
Desgagné	46
Dumais	52
Charles	35
Crispin	4
Desgens	2
Dumaresq	4
Charlish	2
Crispo	1
Desgranges	3
Dumas	79
Charlot	2
Cristiano	2
Desgroseilliers	10
Dumay	2
Charlton	2
Crites	1
Deshaies	27
Dumberry	3
Charpentier	24
Crochetière	3
Desharnais	14
Dumesnil	4
Charrier	3
Croft	4
Désilets	35
Dumont	119
Charrois	2
Croisetière	6
Desimone	1
Dumontet	2
Charron	111
Cromp	2
Désir	7
Dumontier	6
Chartier	45
Cronier	4
Desiré	2
Dumouchel	19
Chartrand	83
Crook	2
Desjardins	223
Dumoulin	30
Chartré	7
Crosby	1
Desjarlais	3
Dumulong	4
Chase	4
Cross	7
Desjean	2
Dunberry	2
Chasles	3
Croteau	78
Deslandes	14
Duncan	4
Chassé	32
Croussette	7
Deslauriers	52
Dunn	18
Chateauneuf	4
Crow	2
Deslières	2
Duong	9
Chateauvert	6
Croxen	1
Deslippe	2
Dupaul	2
Chatel	4
Croze	1
Desloges	8
Dupéré	19
Châtelain	6
Cruz	8
Deslongchamps	8
Duperron	8
Chatelois	2
Cuerrier	7
Desmanches	1
Duplain	4
Chatigny	4
Cuffaro	1
Desmarais	75
Duplantie	4
Chatillon	2
Cuillerier	4
Desmarchais	4
Duplessis	14
Chau	7
Cullen	3
Desmarteau	4
Dupont	94
Chaudhary	1
Cummings	8
Desmeules	24
Dupras	19
Chaudhry	4
Cunha	1
Desnoyers	21
Dupré	17
Chaumont	6
Cunningham	6
Desorcy	2
Dupuis	168
Chauret	4
Curadeau	8
Desormeaux	32
Duquette	70
Chaussé	12
Curotte	2
Desormiers	4
Duranceau	4
Chauvette	13
Currie	3
Desourdy	4
Durand	79
Chauvin	7
Curtis	2
Desousa	8
Duranleau	7
Chavez	4
Cusson	30
Desparois	4
Dure	1
Chavigny	1
Custeau	4
Despars	2
Durette	13
Chayer	25
Cutler	2
Despatie	16
Durivage	4
Chea	4
Cypihot	2
Despins	4
Durocher	57
Chedore	1
Cyr	193
Despots	1
Dusablon	8
Cheezo	4
Cyrenne	6
Després	24
Dussault	61
Chehade	1
Dacosta	6
Desputeau	2
Duteau	4
Chen	17
Dagenais	70
Desranleau	3
Dutemple	1
Chenail	4
Dagher	3
Desrivières	2
Dutil	12
Chénard	28
Dagneau	2
Desrochers	108
Dutremble	2
Chené	2
Dagostino	2
Desroches	46
Dutrisac	3
Chenel	7
Dahan	6
Desrosiers	133
Duval	86
Chenette	2
Daher	3
Desruisseaux	13
Dwyer	1
Dyer	2
East	2
French	3
Graus	2
Hu	3
Ebacher	3
Frenette	46
Gravel	163
Hua	4
Eccles	1
Frenière	3
Graveline	12
Huang	10
Echalook	2
Frenza	1
Graves	1
Huard	59
Echaquan	2
Fréreault	2
Gray	9
Huberdeau	6
Edery	4
Frève	3
Greaves	2
Hubert	28
Edmond	3
Frias	1
Gréco	6
Hudon	59
Édouard	4
Fried	2
Green	14
Hudson	2
Edward	1
Friedman	8
Greenberg	3
Huet	12
Edwards	12
Frigault	4
Greenwood	2
Hughboy	1
Egan	1
Frigon	16
Greer	4
Hughes	8
Eid	6
Friolet	1
Greffard	2
Hui	2
Einish	4
Froment	7
Grégoire	98
Hull	2
Eisenberg	1
Frost	3
Gregory	4
Hum	4
Elbaz	4
Fuchs	2
Grenier	248
Huneault	14
Élément	10
Fuentes	3
Grenon	37
Hunt	8
Élémond	1
Fugère	13
Grewal	3
Hunter	13
Elfassy	2
Fuller	3
Grey	2
Huntington	2
Elhachem	1
Fullum	4
Griffin	7
Huot	48
Elhaddad	1
Fung	2
Griffith	3
Huppé	10
Elhage	2
Fuoco	4
Griffiths	2
Hurdle	3
Elhajj	1
Furlong	1
Grignon	6
Hurens	2
Elias	6
Furlotte	2
Grilli	1
Hurley	1
Elkaim	1
Furtado	4
Grimard	26
Hurteau	4
Elkhoury	6
Fusco	2
Grisé	8
Hurtubise	17
Ellefsen	2
Fyfe	4
Groleau	34
Husereau	1
Elliott	9
Gabbay	2
Grondin	71
Hussain	10
Ellis	6
Gaboriault	4
Grondines	6
Hutchinson	2
Ellyson	3
Gaboury	13
Groslouis	4
Hutchison	2
Elmaleh	2
Gabriel	13
Gross	4
Hutton	2
Elmasri	2
Gadbois	12
Grosset	1
Huynh	20
Eloquin	2
Gadoua	3
Grossman	2
Hynes	3
Elzein	2
Gadoury	14
Grosz	1
Hyppolite	4
Émard	10
Gagliano	3
Grothé	2
Iacono	3
Émery	7
Gagliardi	2
Groulx	39
Ianniciello	1
Émile	2
Gagné	448
Gruber	1
Iannuzzi	2
Emmanuel	2
Gagnier	7
Grunwald	2
Ibrahim	8
Émond	98
Gagnière	1
Gualtieri	1
Icebound	3
Emudluk	1
Gagnon	790
Guan	2
Ifrah	1
Engel	2
Gaignard	2
Guanish	2
Imbeault	41
England	2
Gaillard	2
Guay	155
Imhoff	1
English	8
Gaillardetz	1
Guénard	4
Inkel	4
Ennis	1
Gailloux	2
Guénette	39
Innocent	3
Enright	3
Galardo	1
Guérard	19
Inukpuk	2
Epstein	1
Galarneau	32
Guérette	16
Iorio	2
Erless	1
Galasso	1
Guérin	61
Ip	1
Escobar	4
Galbraith	1
Guernon	4
Ippersiel	4
Espinal	1
Galdamez	1
Guerra	6
Iqbal	1
Espinoza	4
Gale	1
Guerrera	4
Ireland	1
Esposito	4
Galibois	2
Guerrero	3
Irving	1
Essiambre	6
Galipeau	20
Guerrier	7
Irwin	2
Estime	2
Gallagher	6
Guerriero	2
Isaac	7
Estrada	3
Gallant	61
Guertin	32
Isabelle	39
Etapp	1
Gallichan	2
Guevara	3
Iserhoff	3
Éthier	61
Gallien	2
Guévin	6
Ishpatao	3
Étienne	10
Gallo	4
Guèvremont	9
Islam	4
Etok	3
Gamache	52
Guibord	2
Ismail	4
Eugène	4
