firstname	gender	cnt
Ann-Clara	f	17
Anne	f	2665
Anne Andree	f	22
Anne Audrey	f	12
Anne Catherine	f	60
Anne-Catherine	f	76
Anne-Charlie	f	12
Anne Charlotte	f	19
Anne-Charlotte	f	46
Anne Christine	f	11
Anne-Christine	f	11
Anne Claire	f	16
Anne-Claire	f	12
Anne Clara	f	11
Anne-Clara	f	26
Anne Claude	f	24
Anne Elisabeth	f	14
Anne-Elisabeth	f	24
Anne Elizabeth	f	19
Anne-Elizabeth	f	14
Anne Emilie	f	17
Anne-Emilie	f	12
Anne Florence	f	11
Anne-Florence	f	36
Anne-Frederic	f	11
Anne Frederique	f	78
Anne-Frederique	f	192
Anne Gabrielle	f	32
Anne-Gabrielle	f	49
Anne-Gaelle	f	12
Anne Helene	f	12
Anne Isabelle	f	26
Anne Josee	f	50
Anne Julie	f	293
Anne-Julie	f	128
Anne Laure	f	23
Anne-Laure	f	18
Anne Laurence	f	42
Anne-Laurence	f	48
Anne Laurie	f	28
Anne-Laurie	f	47
Annelie	f	11
Anne Lise	f	15
Annelise	f	12
Ann-Elizabeth	f	13
Anne Louise	f	33
Anne Marie	f	3264
Anne-Marie	f	850
Annemarie	f	15
Anne Michele	f	14
Anne Pier	f	16
Anne Renee	f	41
Anne-Renee	f	16
Anne-Rose	f	17
Anne Sara	f	13
Anne Sarah	f	18
Anne-Sarah	f	27
Anne Shirley	f	13
Anne Sophie	f	1121
Anne-Sophie	f	1423
Annette	f	111
Anne Valerie	f	13
Anne-Victoria	f	14
Ann Frederic	f	11
Ann-Frederic	f	12
Ann Frederick	f	15
Ann-Frederick	f	24
Ann Frederik	f	11
Ann-Frederik	f	24
Ann Frederique	f	34
Ann-Frederique	f	119
Ann-Gabrielle	f	18
Anni	f	14
Annia	f	11
Annic	f	16
Annick	f	2115
Annie	f	7345
Annie Claude	f	668
Annie-Claude	f	93
Annie Eve	f	23
Annie France	f	24
Annie Kim	f	66
Annie-Kim	f	25
Annie Pier	f	343
Annie-Pier	f	123
Annie Pierre	f	31
Annie Rose	f	11
Annik	f	529
Annika	f	145
Annissa	f	18
Ann Julie	f	105
Ann-Julie	f	58
